,smin,smax,id,capacity,start
0,7.0,13.0,501201030.0,15.0,3.0
1,2.0,10.0,501204024.0,14.0,12.0
2,3.0,10.0,501201029.0,13.0,6.0
3,5.0,13.0,501204023.0,15.0,11.0
4,2.0,15.0,501201028.0,20.0,6.0
5,5.0,9.0,501201027.0,11.0,6.0
6,5.0,14.0,501204022.0,16.0,5.0
7,0.0,7.0,501204020.0,20.0,5.0
8,0.0,3.0,501204021.0,19.0,13.0
9,0.0,8.0,501204017.0,15.0,3.0
10,2.0,15.0,501204016.0,19.0,4.0
11,1.0,18.0,501204018.0,24.0,16.0
12,2.0,10.0,501204015.0,15.0,6.0
13,1.0,10.0,501204014.0,16.0,10.0
14,4.0,12.0,501204012.0,14.0,10.0
15,0.0,14.0,501204011.0,15.0,11.0
16,2.0,10.0,501201026.0,15.0,8.0
17,5.0,12.0,501204013.0,14.0,13.0
18,4.0,19.0,501204009.0,20.0,8.0
19,0.0,4.0,501204008.0,15.0,12.0
20,0.0,15.0,501201024.0,24.0,7.0
21,0.0,17.0,501201019.0,28.0,7.0
22,5.0,22.0,501201020.0,24.0,1.0
23,4.0,21.0,501201025.0,24.0,5.0
24,0.0,28.0,501204007.0,36.0,9.0
25,0.0,0.0,501204010.0,0.0,0.0
26,8.0,20.0,501201018.0,21.0,1.0
27,3.0,25.0,501201023.0,28.0,5.0
28,4.0,26.0,501201017.0,27.0,3.0
29,3.0,12.0,501201021.0,15.0,1.0
30,0.0,5.0,501201022.0,16.0,0.0
31,4.0,12.0,501204004.0,14.0,2.0
32,0.0,0.0,501204005.0,0.0,0.0
33,1.0,41.0,501204003.0,44.0,6.0
34,1.0,6.0,501204002.0,13.0,8.0
35,0.0,14.0,501204001.0,25.0,3.0
36,1.0,20.0,501201016.0,26.0,2.0
37,6.0,24.0,501201015.0,25.0,6.0
38,0.0,34.0,501201002.0,40.0,2.0
39,0.0,14.0,501201003.0,23.0,4.0
40,0.0,7.0,501201004.0,15.0,13.0
41,0.0,10.0,501201005.0,19.0,2.0
42,0.0,18.0,501201006.0,28.0,6.0
43,0.0,10.0,501201007.0,19.0,10.0
44,6.0,23.0,501201008.0,25.0,1.0
45,0.0,13.0,501201009.0,20.0,12.0
46,7.0,8.0,501201010.0,10.0,6.0
47,5.0,19.0,501201011.0,21.0,3.0
48,3.0,16.0,501201012.0,18.0,15.0
49,16.0,21.0,501201013.0,22.0,14.0
50,1.0,14.0,501201014.0,19.0,7.0
